"","city","cold_rent","rooms","square_meter","title","url"
"26","Essen (Frillendorf)","548 €","3.5 Zi.","73.94 m²","Wohnen, wo das Herz schlägt - in ruhiger und doch zentraler Lage.","https://www.immowelt.de/expose/252sy5n"
"27","Essen (Huttrop)","551 €","2 Zi.","58.04 m²","Erstbezug nach Renovierung: 2-Zi.-Whg. in ruhige Lage in Essen","https://www.immowelt.de/expose/24ew45c"
"28","Essen (Huttrop)","645,74 €","2 Zi.","72.15 m²","Erstbezug nach Modernisierung: bezugsfertige 2-Zimmer-Stadtwohnung mit Loggia!","https://www.immowelt.de/expose/24rky5p"
"29","Essen (Bredeney)","1.110 €","3 Zi.","100 m²","Individuelle Wohnung in traumhafter Lage am Wald!","https://www.immowelt.de/expose/25uyc5r"
"30","Essen (Kettwig)","580 €","3 Zi.","80.23 m²","Renovierte Eigentumswohnung (ohne Kinderzimmer) mit schönem Ausblick in Essen-Kettwig zu vermieten","https://www.immowelt.de/expose/25wdr5m"
"31","Essen (Holsterhausen)","300 €","1 Zi.","33 m²","IHRE GELEGENHEIT!!! RENOVIERTES 1 ZIMMER APARTMENT mit BALKON in ESSEN - HOLSTERHAUSEN!!!","https://www.immowelt.de/expose/25nkt5l"
"32","Essen (Altenessen-Süd)","840 €","3 Zi.","110 m²","Altenessen-Süd: 3 R KDB, 110 m², Südbalk., Einbaukü.","https://www.immowelt.de/expose/25g6f5l"
"33","Essen (Holsterhausen)","465 €","3 Zi.","65.48 m²","3-Zimmerwohnung Nähe Uni-Klinikum Essen","https://www.immowelt.de/expose/25g985j"
"34","Essen (Stadtkern)","475 €","2 Zi.","65.44 m²","Zentral gelegene 2 Zimmer Wohnung mit 2 Bädern - WG geeignet","https://www.immowelt.de/expose/25amg5b"
"35","Essen (Überruhr-Hinsel)","455 €","1.5 Zi.","35.25 m²","Betreutes Wohnen im "";Haus unterm Regenbogen""","https://www.immowelt.de/expose/25j3w55"
"36","Essen (Überruhr-Hinsel)","465 €","2 Zi.","36.06 m²","Betreutes Wohnen im "";Haus unterm Regenbogen""","https://www.immowelt.de/expose/259zv55"
"37","Essen (Überruhr-Hinsel)","417 €","1 Zi.","32.3 m²","Betreutes Wohnen im "";Haus unterm Regenbogen""","https://www.immowelt.de/expose/25kwv55"
"38","Essen (Kray)","425 €","2 Zi.","58.96 m²","Ruhige Lage I gut aufgeteilt I Balkon I","https://www.immowelt.de/expose/244v65s"
"39","Essen (Südostviertel)","440 €","1 Zi.","39 m²","Südostviertel: das 38 m² Rundum-Sorglos-Paket mit EBK","https://www.immowelt.de/expose/24ggt5n"
"40","Essen (Bochold)","360 €","2.5 Zi.","55 m²","Gemütliche 2,5 Raum-Wohnung in Essen-Bochold","https://www.immowelt.de/expose/23vkn5t"
"41","Bochum (Weitmar)","450 €","2 Zi.","51.73 m²","Einziehen und Wohlfühlen","https://www.immowelt.de/expose/2542k5r"
"42","Bochum (Weitmar)","427,98 €","2 Zi.","45.53 m²","Für Studenten: günstige 2-Zimmer-Wohnung in BO-Weitmar","https://www.immowelt.de/expose/25guj5r"
"43","Bochum (Innenstadt)","400 €","2 Zi.","46.4 m²","2-Zi.-Wohnung im grünen, neu renoviert.","https://www.immowelt.de/expose/25tva5q"
"44","Bochum (Innenstadt)","1.085,19 €","5 Zi.","136.33 m²","Schöne Wohnung: familienfreundliche 5-Zimmer-Wohnung","https://www.immowelt.de/expose/25w4k5r"
"45","Bochum (Weitmar)","457,81 €","3 Zi.","56.52 m²","Traumwohnung sucht Mieter! Neurenovierte 3-Zimmer-Wohnung in ruhiger Lage - Jetzt besichtigen -","https://www.immowelt.de/expose/25w2k5r"
"46","Bochum (Weitmar)","470 €","3 Zi.","58.87 m²","Wer will mich!? 3-Zimmer-Wohnung in Stadtlage","https://www.immowelt.de/expose/2563k5r"
"47","Bochum (Weitmar)","490 €","2.5 Zi.","70 m²","Komfort-Wohnung zwischen Bochum-Weitmar-Mitte und Springorum","https://www.immowelt.de/expose/2bmmh4u"
"48","Bochum (Hiltrop)","575 €","2 Zi.","77 m²","2-Zimmer-Wohnküche-Diele-Bad, sanierter - Top Altbau im Grünen -ruhige Lage","https://www.immowelt.de/expose/2t22q4t"
"49","Bochum (Dahlhausen)","655 €","2.5 Zi.","66.38 m²","1. OG re. Neubauwohnung Bo. Oberdahlhausen in traumhafter Lage","https://www.immowelt.de/expose/25dmx4z"
"50","Bochum (Riemke)","492,45 €","4 Zi.","93.8 m²","Generationsübergreifendes Wohnen: 4-Zimmer-Wohnung mit Balkon/Terrasse","https://www.immowelt.de/expose/24nml5w"
"51","Bochum (Hamme)","500 €","3.5 Zi.","66.5 m²","Nähe Campuslinie U-35 Ideal für StudentInnen oder junge Berufstätige","https://www.immowelt.de/expose/255675j"
"52","Bochum (Werne)","366 €","1.5 Zi.","44.03 m²","Bei VIVAWEST die Sonnenstrahlen auf dem eigenen Balkon genießen.","https://www.immowelt.de/expose/25xv75q"
"53","Bochum (Langendreer)","1.040 €","4 Zi.","97 m²","Dachgeschoss Wohnung mit großer Dachterrasse","https://www.immowelt.de/expose/25byj5p"
"54","Bochum (Innenstadt)","870 €","5 Zi.","87 m²","Hier warten 87 m² zum Wohlfühlen auf Sie - saniert und bezugsfertig ab sofort","https://www.immowelt.de/expose/25kcr5j"
"55","Bochum (Wiemelhausen)","460 €","3 Zi.","55 m²","Verkehrsgünstige 3-Zimmer-Wohnung mit Balkon  ab 01.07.2021 oder früher nach Vereinbarung","https://www.immowelt.de/expose/2xwk64x"
"56","Bochum (Linden)","420 €","2.5 Zi.","67 m²","Helle Erdgeschoss-Wohnung mit Wohnküche in ruhigem Haus in Bochum-Linden","https://www.immowelt.de/expose/25hyz5k"
"57","Bochum (Weitmar)","344,44 €","2 Zi.","41.75 m²","Frischer Wind, frische Farben: Gestalten Sie Ihr neues Zuhause nach Lust und Laune.","https://www.immowelt.de/expose/25rtg5c"
"58","Bochum (Hamme)","489,98 €","2 Zi.","55.68 m²","Charmante 2-Zimmer-Wohnung mit Balkon","https://www.immowelt.de/expose/25j9g5c"
"59","Bochum (Weitmar)","386,59 €","3 Zi.","54.68 m²","Gemütliche 2-Zimmer-Wohnung","https://www.immowelt.de/expose/25m5g5c"
"60","Bochum (Innenstadt)","369,68 €","1 Zi.","49.29 m²","Geräumige 1-Zimmer-Wohnung mit Dusche und Balkon","https://www.immowelt.de/expose/25qzf5c"
"61","Bochum (Hamme)","365,26 €","2 Zi.","50.59 m²","2-Zimmer-Wohnung mit Balkon in ruhiger Lage","https://www.immowelt.de/expose/25upf5c"
"62","Bochum (Hamme)","454,91 €","2 Zi.","55.68 m²","Moderne 2-Zimmer-Wohnung mit Balkon","https://www.immowelt.de/expose/252lf5c"
"63","Bochum (Hamme)","454,82 €","2 Zi.","55.67 m²","Moderne 2-Zimmer-Wohnung mit Balkon","https://www.immowelt.de/expose/25jef5c"
"64","Bochum (Hamme)","363,32 €","3 Zi.","53.43 m²","3-Zimmer-Wohnung für Paare und kleine Familien","https://www.immowelt.de/expose/25edg5c"
"65","Bochum (Weitmar)","384,90 €","1 Zi.","39.68 m²","Nette Nachbarn gesucht: 1-Zimmer-Citywohnung","https://www.immowelt.de/expose/244m65h"
"66","Bochum (Weitmar)","595 €","3 Zi.","75 m²","zentral - renoviert - und den Blick ins Grüne  |  3 1/2 Raum Wohnung perfekt für kleine Familien","https://www.immowelt.de/expose/25vyq5j"
"67","Bochum (Linden)","400 €","3 Zi.","70 m²","3 Zi Wohnung im Bo-Süden (WBS)","https://www.immowelt.de/expose/254ud5j"
"68","Bochum (Innenstadt)","999 €","2 Zi.","79 m²","Schöne Altbauwohnung direkt am Kortumpark im Herzen von Bochum","https://www.immowelt.de/expose/2568p57"
"69","Bochum / Stiepel (Stiepel)","995 €","4 Zi.","106 m²","Erstbezug nach Renovierung! 4 Zimmer Souterrain Wohnung in Bochum-Stiepel mit separaten Eingang!","https://www.immowelt.de/expose/258hf54"
"70","Bochum (Höntrop)","790 €","2.5 Zi.","73.77 m²","Modern geschnittene 2,5 Raum Wohnung mit Terrasse in Bochum-Höntrop","https://www.immowelt.de/expose/24mlv5v"
"71","Bochum (Innenstadt)","515 €","2 Zi.","73.9 m²","Charmante Wohnung mit Blick ins Grüne","https://www.immowelt.de/expose/24jgd5l"
"72","Bochum (Höntrop)","695 €","2.5 Zi.","67.1 m²","Barrierearme 2,5 Raum Wohnung in ruhiger Lage von Bochum-Höntrop","https://www.immowelt.de/expose/24fka5j"
"73","Bochum (Höntrop)","790 €","2.5 Zi.","70.88 m²","Modern geschnittene 2,5 Raum Wohnung mit Balkon in Bochum-Höntrop","https://www.immowelt.de/expose/24ph45c"
"74","Bochum (Weitmar)","450 €","2 Zi.","64 m²","Renovierte 2,5-Raum-Wohnung in bester Wohnlage von Bochum-Weitmar","https://www.immowelt.de/expose/243x655"
"75","Bochum (Wattenscheid)","765 €","4 Zi.","109 m²","Helle Maisonettewohnung I 4 Zimmer I Balkon I","https://www.immowelt.de/expose/23f4u57"
"76","Bochum (Hofstede)","570 €","3.5 Zi.","77.5 m²","Renovierte Wohnung in der ersten Etage Bo- Hofstede  77 m² 3,5 Zimmer, Balkon und Garage","https://www.immowelt.de/expose/2v85q42"
"77","Bochum (Weitmar)","595 €","2 Zi.","76.47 m²","BO - WEITMAR - Bärendorf: vollständig renovierte 2-Zi-Whg. mit Wannenbad u. Balkon","https://www.immowelt.de/expose/2emxj4w"
"78","Bochum (Altenbochum)","490 €","3.5 Zi.","64 m²","Altenbochum: gut-aufgeteilte 3,5 - Dachgeschosswohnung !","https://www.immowelt.de/expose/25gv25s"
"79","Bochum (Wiemelhausen)","645 €","3.5 Zi.","86 m²","Helle und modern:  gut-aufgeteilte 3,5-Zimmerwohnung im DG mit West-Balkon !","https://www.immowelt.de/expose/25gh25s"
"80","Bochum (Westenfeld)","600,60 €","3 Zi.","66 m²","Nette Nachbarn gesucht: individuelle 3-Zimmer-Wohnung","https://www.immowelt.de/expose/25h4k5r"
